
**********************************************
Contact: Natoms = 1.00000000000e+04, as = 1.000000e+02 * a0, G = 1.085900e+03, G * par = 2.171801e+03
Regular DDI: add = 6.700000e+01 * a0, GD = 1.736905e+02, GD * par = 3.473811e+02, edd = 6.700000e-01
     Dipolar cutoff Scut = 8.416910e+00,

QF = 1: h2 = 1.792281e+03,         q5 = 1.707112e+00

Trap parameters:
GAMMA = 1.000000e+00, NU = 1.000000e+00, LAMBDA = 4.361370e-02
Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 1.3151422150218750e-01, DY = 1.3151422150218750e-01, DZ = 2.2918125546406252e+00, mx = 1.00e+01, my = 1.00e+01, mz = 1.00e+01
      Unit of length: aho = 6.123800e-07 m

Time discretization: NITER = 1000000 (NSNAP = 1000000)
                     DT = 3.459198e-03, mt = 5.00e+00

file ./imag3d-finalpsi.bin
MUREL = 1.000000e-10, MUEND=1.000000e+03

-----------------------------------------------------------------------------------------------
Snap      mu           Kin             Pot            Contact            DDI            QF
-----------------------------------------------------------------------------------------------
113       2.0469723447548138e+00 3.5627067380956196e-01 9.4381801156422496e-01 1.9659656140652246e+00 -1.2190819546841976e+00 7.8065891534637180e-02
114       2.0469896832012662e+00 3.5628738209104394e-01 9.4377826217819794e-01 1.9660867702252594e+00 -1.2191627312932352e+00 7.8073540695073149e-02
115       2.0470070912157419e+00 3.5630373467123516e-01 9.4373875571439159e-01 1.9662084808586857e+00 -1.2192438800285705e+00 7.8081242210593843e-02
116       2.0470245637021112e+00 3.5631973113672427e-01 9.4369949983498713e-01 1.9663307088403978e+00 -1.2193253761099978e+00 7.8088993228461870e-02
117       2.0470420954713662e+00 3.5633537125713466e-01 9.4366050215432340e-01 1.9664534163561751e+00 -1.2194071942962670e+00 7.8096790848066644e-02
118       2.0470596812444808e+00 3.5635065498184981e-01 9.4362177023734406e-01 1.9665765649258655e+00 -1.2194893089005785e+00 7.8104632123315754e-02
119       2.0470773156554771e+00 3.5636558243662086e-01 9.4358331159810960e-01 1.9667001154273278e+00 -1.2195716938065813e+00 7.8112514065052194e-02
120       2.0470949932544649e+00 3.5638015392001532e-01 9.4354513369826476e-01 1.9668240281209506e+00 -1.2196543224847654e+00 7.8120433643484338e-02
121       2.0471127085108418e+00 3.5639436989976747e-01 9.4350724394555618e-01 1.9669482626748018e+00 -1.2197371680092834e+00 7.8128387790629472e-02
122       2.0471304558166010e+00 3.5640823100901564e-01 9.4346964969237468e-01 1.9670727781903832e+00 -1.2198202030751726e+00 7.8136373402769271e-02
123       2.0471482294896535e+00 3.5642173804242783e-01 9.4343235823423399e-01 1.9671975332288967e+00 -1.2199034000159050e+00 7.8144387342905769e-02
124       2.0471660237772769e+00 3.5643489195222378e-01 9.4339537680836494e-01 1.9673224858379328e+00 -1.2199867308212442e+00 7.8152426443218043e-02
125       2.0471838328595862e+00 3.5644769384412767e-01 9.4335871259220827e-01 1.9674475935786675e+00 -1.2200701671554173e+00 7.8160487507518570e-02
126       2.0472016508531854e+00 3.5646014497323980e-01 9.4332237270205055e-01 1.9675728135534736e+00 -1.2201536803755784e+00 7.8168567313701906e-02
127       2.0472194718146692e+00 3.5647224673981354e-01 9.4328636419152623e-01 1.9676981024337754e+00 -1.2202372415504457e+00 7.8176662616181378e-02
128       2.0472372897443938e+00 3.5648400068500469e-01 9.4325069405025508e-01 1.9678234164883326e+00 -1.2203208214791987e+00 7.8184770148315319e-02
129       2.0472550985901727e+00 3.5649540848654521e-01 9.4321536920243765e-01 1.9679487116117182e+00 -1.2204043907105282e+00 7.8192886624816355e-02
130       2.0472728922510601e+00 3.5650647195437579e-01 9.4318039650545926e-01 1.9680739433530532e+00 -1.2204879195618281e+00 7.8201008744139960e-02
131       2.0472906645811144e+00 3.5651719302623225e-01 9.4314578274852257e-01 1.9681990669449054e+00 -1.2205713781385461e+00 7.8209133190852528e-02
132       2.0473084093932892e+00 3.5652757376322908e-01 9.4311153465131181e-01 1.9683240373323412e+00 -1.2206547363535927e+00 7.8217256637976657e-02
133       2.0473261204632611e+00 3.5653761634538195e-01 9.4307765886263184e-01 1.9684488092020915e+00 -1.2207379639468441e+00 7.8225375749305451e-02
134       2.0473437915333128e+00 3.5654732306714437e-01 9.4304416195908081e-01 1.9685733370117351e+00 -1.2208210305046474e+00 7.8233487181692110e-02
